,index,full_date,Date,Month,Week #,Day,Year,Event,Staff Supervisor,Event Coordinator,DA Speaking?,Time,Briefing,Location,Location_Parse,location_parse,address_string,zip,county,state,city,Latitude,Longitude,Accuracy Score,County,Source,review,is_zoom,Manually Add Address,dedupe_mask,is_zoom_v2,is_blank,lat_long_gmaps
0,0,1/2/2024,2-Jan,1,1,Tue,2024,102 Precinct Council Monthly Meeting,Rokeya,102 precinct,NO,7:00 PM,No,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,"[('One', 'BuildingName'), ('Stop', 'BuildingName'), ('Richmond', 'BuildingName'), ('Hill', 'BuildingName'), ('Community', 'BuildingName'), ('Center', 'BuildingName'), ('110-08', 'AddressNumber'), ('Jamaica', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('Richmond', 'PlaceName'), ('Hill', 'PlaceName'), ('NY', 'StateName'), ('11418..', 'ZipCode')]","[('One', 'BuildingName'), ('Stop', 'BuildingName'), ('Richmond', 'BuildingName'), ('Hill', 'BuildingName'), ('Community', 'BuildingName'), ('Center', 'BuildingName'), ('110-08', 'AddressNumber'), ('Jamaica', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('Richmond', 'PlaceName'), ('Hill', 'PlaceName'), ('NY', 'StateName'), ('11418..', 'ZipCode')]",110-08 Jamaica Avenue Richmond Hill,11418..,Queens,New York,New York City,40.696373,-73.837662,1,Queens County,City of New York,No Review Needed,FALSE,,Rokeya102 precinctJan-027:00 PM,FALSE,FALSE,
1,1,1/2/2024,2-Jan,1,1,Tue,2024,111th Precinct Community Council Meeting,Kate,Jack Fried,NO,7:30 PM,NO,"4506 215 St., Bayside","[('4506', 'AddressNumber'), ('215', 'StreetName'), ('St.,', 'StreetNamePostType'), ('Bayside', 'PlaceName')]","[('4506', 'AddressNumber'), ('215', 'StreetName'), ('St.,', 'StreetNamePostType'), ('Bayside', 'PlaceName')]",4506 215 St. Bayside,,Queens,New York,New York City,40.7602441,-73.7677809,0.7,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,KateJack FriedJan-027:30 PM,FALSE,FALSE,"[40.7602441, -73.76778089999999]"
2,2,1/2/2024,2-Jan,1,1,Tue,2024,DAK swear in ceremony,Jacqueline,Queens District Attorney,YES,7:00 AM,Yes,"Helen Marshall Cultural Center 120-55 Queens Blvd, Queens, NY 11415","[('Helen', 'BuildingName'), ('Marshall', 'BuildingName'), ('Cultural', 'BuildingName'), ('Center', 'BuildingName'), ('120-55', 'AddressNumber'), ('Queens', 'StreetName'), ('Blvd,', 'StreetNamePostType'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11415', 'ZipCode')]","[('Helen', 'BuildingName'), ('Marshall', 'BuildingName'), ('Cultural', 'BuildingName'), ('Center', 'BuildingName'), ('120-55', 'AddressNumber'), ('Queens', 'StreetName'), ('Blvd,', 'StreetNamePostType'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11415', 'ZipCode')]",120-55 Queens Blvd Queens,11415,Queens,New York,New York City,40.713628,-73.828207,0.99,Queens County,City of New York,No Review Needed,FALSE,,JacquelineQueens District AttorneyJan-027:00 AM,FALSE,FALSE,
3,3,1/2/2024,2-Jan,1,1,Tue,2024,103 Precinct Council Monthly Meeting,Rokeya,103 precinct,NO,7:00 PM,No,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,"[('One', 'BuildingName'), ('Stop', 'BuildingName'), ('Richmond', 'BuildingName'), ('Hill', 'BuildingName'), ('Community', 'BuildingName'), ('Center', 'BuildingName'), ('110-08', 'AddressNumber'), ('Jamaica', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('Richmond', 'PlaceName'), ('Hill', 'PlaceName'), ('NY', 'StateName'), ('11418..', 'ZipCode')]","[('One', 'BuildingName'), ('Stop', 'BuildingName'), ('Richmond', 'BuildingName'), ('Hill', 'BuildingName'), ('Community', 'BuildingName'), ('Center', 'BuildingName'), ('110-08', 'AddressNumber'), ('Jamaica', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('Richmond', 'PlaceName'), ('Hill', 'PlaceName'), ('NY', 'StateName'), ('11418..', 'ZipCode')]",110-08 Jamaica Avenue Richmond Hill,11418..,Queens,New York,New York City,40.696373,-73.837662,1,Queens County,City of New York,No Review Needed,FALSE,,Rokeya103 precinctJan-027:00 PM,FALSE,FALSE,
7,7,1/4/2024,4-Jan,1,1,Thu,2024,Community Board 10 Meeting,Dan,Betty Braton,NO,7:00 PM,,Old Mill Yacht Club 163-15 Cross Bay Boulevard in Howard Beach,"[('Old', 'BuildingName'), ('Mill', 'BuildingName'), ('Yacht', 'BuildingName'), ('Club', 'BuildingName'), ('163-15', 'BuildingName'), ('Cross', 'BuildingName'), ('Bay', 'BuildingName'), ('Boulevard', 'BuildingName'), ('in', 'BuildingName'), ('Howard', 'BuildingName'), ('Beach', 'BuildingName')]","[('Old', 'BuildingName'), ('Mill', 'BuildingName'), ('Yacht', 'BuildingName'), ('Club', 'BuildingName'), ('163-15', 'BuildingName'), ('Cross', 'BuildingName'), ('Bay', 'BuildingName'), ('Boulevard', 'BuildingName'), ('in', 'BuildingName'), ('Howard', 'BuildingName'), ('Beach', 'BuildingName')]",,,Queens,New York,New York City,40.651952,-73.8377963,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DanBetty BratonJan-047:00 PM,FALSE,FALSE,"[40.651952, -73.8377963]"
8,8,1/4/2024,4-Jan,1,1,Thu,2024,Community Board 2 Monthly Meeting,Javier,Debra Markell,NO,6:30 PM,No,Sunnyside Community Center,"[('Sunnyside', 'BuildingName'), ('Community', 'BuildingName'), ('Center', 'BuildingName')]","[('Sunnyside', 'BuildingName'), ('Community', 'BuildingName'), ('Center', 'BuildingName')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,JavierDebra MarkellJan-046:30 PM,FALSE,FALSE,
9,9,1/4/2024,4-Jan,1,1,Thu,2024,Federated Blocks Of Laurelton,Shana,Julian Snype,NO,7:00 PM,No,Evangle Temple 227 and Merrick Blvd,"[('Evangle', 'StreetName'), ('Temple', 'StreetName'), ('227', 'StreetName'), ('and', 'IntersectionSeparator'), ('Merrick', 'StreetName'), ('Blvd', 'StreetNamePostType')]","[('Evangle', 'StreetName'), ('Temple', 'StreetName'), ('227', 'StreetName'), ('and', 'IntersectionSeparator'), ('Merrick', 'StreetName'), ('Blvd', 'StreetNamePostType')]",Evangle Temple 227,,Queens,New York,New York City,40.6836513,-73.7693842,0,,,Manual Review,FALSE,,ShanaJulian SnypeJan-047:00 PM,FALSE,FALSE,"[40.6836513, -73.7693842]"
13,13,1/6/2024,6-Jan,1,1,Sat,2024,Toy Giveaway,Jacqueline,Queens District Attorney,NO,10:00 AM,No,"st mary & st antonios coptic orthodox church 606 Woodward Ave, Ridgewood, NY 11385","[('st', 'Recipient'), ('mary', 'Recipient'), ('&', 'Recipient'), ('st', 'Recipient'), ('antonios', 'Recipient'), ('coptic', 'Recipient'), ('orthodox', 'Recipient'), ('church', 'Recipient'), ('606', 'AddressNumber'), ('Woodward', 'StreetName'), ('Ave,', 'StreetNamePostType'), ('Ridgewood,', 'PlaceName'), ('NY', 'StateName'), ('11385', 'ZipCode')]","[('st', 'Recipient'), ('mary', 'Recipient'), ('&', 'Recipient'), ('st', 'Recipient'), ('antonios', 'Recipient'), ('coptic', 'Recipient'), ('orthodox', 'Recipient'), ('church', 'Recipient'), ('606', 'AddressNumber'), ('Woodward', 'StreetName'), ('Ave,', 'StreetNamePostType'), ('Ridgewood,', 'PlaceName'), ('NY', 'StateName'), ('11385', 'ZipCode')]",606 Woodward Ave Ridgewood,11385,Queens,New York,New York City,40.705912,-73.907657,1,Queens County,City of New York,No Review Needed,FALSE,,JacquelineQueens District AttorneyJan-0610:00 AM,FALSE,FALSE,
15,15,1/8/2024,8-Jan,1,2,Mon,2024,Community Board 11 Meeting,Kate,Paul DiBenedetto,NO,7:30 PM,NO,"20305 32 Ave., Bayside","[('20305', 'AddressNumber'), ('32', 'StreetName'), ('Ave.,', 'StreetNamePostType'), ('Bayside', 'PlaceName')]","[('20305', 'AddressNumber'), ('32', 'StreetName'), ('Ave.,', 'StreetNamePostType'), ('Bayside', 'PlaceName')]",20305 32 Ave. Bayside,,Queens,New York,New York City,40.77061459999999,-73.786298,0.7,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,KatePaul DiBenedettoJan-087:30 PM,FALSE,FALSE,"[40.77061459999999, -73.786298]"
17,17,1/9/2024,9-Jan,1,2,Tue,2024,106th Precinct Community Council Meeting,Dan,Frank Dardani,NO,7:00 PM,,106th Precinct  103-53 101st St. Ozone Park,"[('106th', 'Recipient'), ('Precinct', 'Recipient'), ('103-53', 'AddressNumber'), ('101st', 'StreetName'), ('St.', 'StreetNamePostType'), ('Ozone', 'PlaceName'), ('Park', 'PlaceName')]","[('106th', 'Recipient'), ('Precinct', 'Recipient'), ('103-53', 'AddressNumber'), ('101st', 'StreetName'), ('St.', 'StreetNamePostType'), ('Ozone', 'PlaceName'), ('Park', 'PlaceName')]",103-53 101st St. Ozone Park,,Queens,New York,New York City,40.68223589999999,-73.8397362,0.8,New York County,City of New York,Manual Review,FALSE,,DanFrank DardaniJan-097:00 PM,FALSE,FALSE,"[40.68223589999999, -73.83973619999999]"
