,merge,value,date,add_time,full_date
1,2021-01-04,1,2021-01-04T05:00:00.000Z,05:00:00.000Z,2021-01-04T05:00:00.000Z
2,2021-01-06,3,2021-01-06T05:00:00.000Z,05:00:00.000Z,2021-01-06T05:00:00.000Z
3,2021-01-07,6,2021-01-07T05:00:00.000Z,05:00:00.000Z,2021-01-07T05:00:00.000Z
4,2021-01-11,2,2021-01-11T05:00:00.000Z,05:00:00.000Z,2021-01-11T05:00:00.000Z
5,2021-01-12,5,2021-01-12T05:00:00.000Z,05:00:00.000Z,2021-01-12T05:00:00.000Z
6,2021-01-13,4,2021-01-13T05:00:00.000Z,05:00:00.000Z,2021-01-13T05:00:00.000Z
7,2021-01-14,2,2021-01-14T05:00:00.000Z,05:00:00.000Z,2021-01-14T05:00:00.000Z
8,2021-01-15,2,2021-01-15T05:00:00.000Z,05:00:00.000Z,2021-01-15T05:00:00.000Z
9,2021-01-17,1,2021-01-17T05:00:00.000Z,05:00:00.000Z,2021-01-17T05:00:00.000Z
10,2021-01-18,8,2021-01-18T05:00:00.000Z,05:00:00.000Z,2021-01-18T05:00:00.000Z
11,2021-01-19,3,2021-01-19T05:00:00.000Z,05:00:00.000Z,2021-01-19T05:00:00.000Z
12,2021-01-20,4,2021-01-20T05:00:00.000Z,05:00:00.000Z,2021-01-20T05:00:00.000Z
13,2021-01-21,3,2021-01-21T05:00:00.000Z,05:00:00.000Z,2021-01-21T05:00:00.000Z
14,2021-01-22,1,2021-01-22T05:00:00.000Z,05:00:00.000Z,2021-01-22T05:00:00.000Z
15,2021-01-25,2,2021-01-25T05:00:00.000Z,05:00:00.000Z,2021-01-25T05:00:00.000Z
16,2021-01-26,9,2021-01-26T05:00:00.000Z,05:00:00.000Z,2021-01-26T05:00:00.000Z
17,2021-01-27,3,2021-01-27T05:00:00.000Z,05:00:00.000Z,2021-01-27T05:00:00.000Z
18,2021-01-28,6,2021-01-28T05:00:00.000Z,05:00:00.000Z,2021-01-28T05:00:00.000Z
19,2021-01-29,2,2021-01-29T05:00:00.000Z,05:00:00.000Z,2021-01-29T05:00:00.000Z
20,2021-02-01,2,2021-02-01T05:00:00.000Z,05:00:00.000Z,2021-02-01T05:00:00.000Z
21,2021-02-02,1,2021-02-02T05:00:00.000Z,05:00:00.000Z,2021-02-02T05:00:00.000Z
22,2021-02-03,6,2021-02-03T05:00:00.000Z,05:00:00.000Z,2021-02-03T05:00:00.000Z
23,2021-02-04,8,2021-02-04T05:00:00.000Z,05:00:00.000Z,2021-02-04T05:00:00.000Z
24,2021-02-05,2,2021-02-05T05:00:00.000Z,05:00:00.000Z,2021-02-05T05:00:00.000Z
25,2021-02-08,1,2021-02-08T05:00:00.000Z,05:00:00.000Z,2021-02-08T05:00:00.000Z
26,2021-02-09,6,2021-02-09T05:00:00.000Z,05:00:00.000Z,2021-02-09T05:00:00.000Z
27,2021-02-10,7,2021-02-10T05:00:00.000Z,05:00:00.000Z,2021-02-10T05:00:00.000Z
28,2021-02-11,1,2021-02-11T05:00:00.000Z,05:00:00.000Z,2021-02-11T05:00:00.000Z
29,2021-02-13,1,2021-02-13T05:00:00.000Z,05:00:00.000Z,2021-02-13T05:00:00.000Z
30,2021-02-15,1,2021-02-15T05:00:00.000Z,05:00:00.000Z,2021-02-15T05:00:00.000Z
31,2021-02-16,3,2021-02-16T05:00:00.000Z,05:00:00.000Z,2021-02-16T05:00:00.000Z
32,2021-02-17,6,2021-02-17T05:00:00.000Z,05:00:00.000Z,2021-02-17T05:00:00.000Z
33,2021-02-18,3,2021-02-18T05:00:00.000Z,05:00:00.000Z,2021-02-18T05:00:00.000Z
34,2021-02-19,1,2021-02-19T05:00:00.000Z,05:00:00.000Z,2021-02-19T05:00:00.000Z
35,2021-02-21,5,2021-02-21T05:00:00.000Z,05:00:00.000Z,2021-02-21T05:00:00.000Z
36,2021-02-22,3,2021-02-22T05:00:00.000Z,05:00:00.000Z,2021-02-22T05:00:00.000Z
37,2021-02-23,2,2021-02-23T05:00:00.000Z,05:00:00.000Z,2021-02-23T05:00:00.000Z
38,2021-02-24,4,2021-02-24T05:00:00.000Z,05:00:00.000Z,2021-02-24T05:00:00.000Z
39,2021-02-25,5,2021-02-25T05:00:00.000Z,05:00:00.000Z,2021-02-25T05:00:00.000Z
40,2021-02-26,3,2021-02-26T05:00:00.000Z,05:00:00.000Z,2021-02-26T05:00:00.000Z
41,2021-02-28,2,2021-02-28T05:00:00.000Z,05:00:00.000Z,2021-02-28T05:00:00.000Z
42,2021-03-01,1,2021-03-01T05:00:00.000Z,05:00:00.000Z,2021-03-01T05:00:00.000Z
43,2021-03-02,1,2021-03-02T05:00:00.000Z,05:00:00.000Z,2021-03-02T05:00:00.000Z
44,2021-03-03,3,2021-03-03T05:00:00.000Z,05:00:00.000Z,2021-03-03T05:00:00.000Z
45,2021-03-04,3,2021-03-04T05:00:00.000Z,05:00:00.000Z,2021-03-04T05:00:00.000Z
46,2021-03-06,1,2021-03-06T05:00:00.000Z,05:00:00.000Z,2021-03-06T05:00:00.000Z
47,2021-03-08,3,2021-03-08T05:00:00.000Z,05:00:00.000Z,2021-03-08T05:00:00.000Z
48,2021-03-09,3,2021-03-09T05:00:00.000Z,05:00:00.000Z,2021-03-09T05:00:00.000Z
49,2021-03-10,3,2021-03-10T05:00:00.000Z,05:00:00.000Z,2021-03-10T05:00:00.000Z
50,2021-03-11,7,2021-03-11T05:00:00.000Z,05:00:00.000Z,2021-03-11T05:00:00.000Z
51,2021-03-15,1,2021-03-15T04:00:00.000Z,04:00:00.000Z,2021-03-15T04:00:00.000Z
52,2021-03-16,6,2021-03-16T04:00:00.000Z,04:00:00.000Z,2021-03-16T04:00:00.000Z
53,2021-03-17,5,2021-03-17T04:00:00.000Z,04:00:00.000Z,2021-03-17T04:00:00.000Z
54,2021-03-18,4,2021-03-18T04:00:00.000Z,04:00:00.000Z,2021-03-18T04:00:00.000Z
55,2021-03-21,5,2021-03-21T04:00:00.000Z,04:00:00.000Z,2021-03-21T04:00:00.000Z
56,2021-03-22,2,2021-03-22T04:00:00.000Z,04:00:00.000Z,2021-03-22T04:00:00.000Z
57,2021-03-23,4,2021-03-23T04:00:00.000Z,04:00:00.000Z,2021-03-23T04:00:00.000Z
58,2021-03-24,5,2021-03-24T04:00:00.000Z,04:00:00.000Z,2021-03-24T04:00:00.000Z
59,2021-03-25,9,2021-03-25T04:00:00.000Z,04:00:00.000Z,2021-03-25T04:00:00.000Z
60,2021-03-26,3,2021-03-26T04:00:00.000Z,04:00:00.000Z,2021-03-26T04:00:00.000Z
61,2021-03-27,2,2021-03-27T04:00:00.000Z,04:00:00.000Z,2021-03-27T04:00:00.000Z
62,2021-03-29,2,2021-03-29T04:00:00.000Z,04:00:00.000Z,2021-03-29T04:00:00.000Z
63,2021-03-30,5,2021-03-30T04:00:00.000Z,04:00:00.000Z,2021-03-30T04:00:00.000Z
64,2021-03-31,4,2021-03-31T04:00:00.000Z,04:00:00.000Z,2021-03-31T04:00:00.000Z
65,2021-04-01,1,2021-04-01T04:00:00.000Z,04:00:00.000Z,2021-04-01T04:00:00.000Z
66,2021-04-03,1,2021-04-03T04:00:00.000Z,04:00:00.000Z,2021-04-03T04:00:00.000Z
67,2021-04-04,1,2021-04-04T04:00:00.000Z,04:00:00.000Z,2021-04-04T04:00:00.000Z
68,2021-04-05,2,2021-04-05T04:00:00.000Z,04:00:00.000Z,2021-04-05T04:00:00.000Z
69,2021-04-06,5,2021-04-06T04:00:00.000Z,04:00:00.000Z,2021-04-06T04:00:00.000Z
70,2021-04-07,3,2021-04-07T04:00:00.000Z,04:00:00.000Z,2021-04-07T04:00:00.000Z
71,2021-04-08,4,2021-04-08T04:00:00.000Z,04:00:00.000Z,2021-04-08T04:00:00.000Z
