,full_date,Event,Location,Latitude,Longitude
0,1/2/2024,102 Precinct Council Monthly Meeting,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,40.696373,-73.837662
1,1/2/2024,DAK swear in ceremony,"Helen Marshall Cultural Center 120-55 Queens Blvd, Queens, NY 11415",40.713628,-73.828207
2,1/2/2024,103 Precinct Council Monthly Meeting,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,40.696373,-73.837662
3,1/2/2024,103 Precinct Council Monthly Meeting,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,40.696373,-73.837662
4,1/2/2024,DAK swear in ceremony,"Helen Marshall Cultural Center 120-55 Queens Blvd, Queens, NY 11416",40.742417,-73.909758
5,1/6/2024,Toy Giveaway,"st mary & st antonios coptic orthodox church 606 Woodward Ave, Ridgewood, NY 11385",40.705912,-73.907657
6,1/6/2024,Toy Giveaway,"st mary & st antonios coptic orthodox church 606 Woodward Ave, Ridgewood, NY 11386",40.705989,-73.90786
7,12/9/2024,Community Board 4 Meeting,"79-01 Broadway, Queens, NY 11373, USA",40.744586,-73.886173
8,2025-13-9,Community Board 4 Meeting,"79-01 Broadway, Queens, NY 11373, USA",40.744586,-73.886173
9,1/11/2024,South Jamaica Houses Resident Association,"South Jamaica Houses - 109-04 160th Street Jamaica, NY 11433",40.693878,-73.79219
10,1/21/2024,Gandhi Statue unvailing at The Shri Tulsi Mandir,"The Shri Tulsi Mandir 103-26 111 Street, Richmond Hill, NY 11419",40.685715,-73.831418
11,1/23/2024,107 Precinct Council Monthly Meeting,"107 Precinct - 71-01 Parsons Blvd , Fresh Meadows NY 11365",40.738884,-73.790067
12,1/23/2024,Peter Cadella Senior Center,"Peter Cardella Senior Center 68-52 Fresh Pond Road, Ridgewood, NY 11385",40.70367,-73.895864
13,1/24/2024,Induction of Judge Evelyn Gong,"89-17 Sutphin Blvd., Jamaica 11435",40.703551,-73.808221
14,1/24/2024,PSA 9 Precinct Community Council Meeting,"South Jamaica Houses - 109-04 160th Street Jamaica, NY 11433",40.693878,-73.79219
15,1/24/2024,Tabling event Queens Public Library Fresh Meadows,"193-20 Horace Harding Expy, Fresh Meadows NY 11365",40.741659,-73.782346
16,1/30/2024,Howard Beach Lindenwood Civic Association Meeting,"St. Helen's Catholic Academy 83-09 157th Ave, Howard Beach, 11414",40.661395,-73.849873
17,1/31/2024,100 Precinct Community Council Meeting,Knights of Columbus 330 Beach 90 Street Rockaway Beach 11693,40.590692,-73.809749
18,1/31/2024,Richmond Hill Block Association Meeting,110-08 Jamaica Avenue Richmond Hill NY 11418,40.696373,-73.837662
19,2/1/2024,Springfield Gardens (SprinGar) Civic Association,"The Springfiled Gardens Education Center |145-02 Farmers Boulevard, Jamaica NY 11434",40.666267,-73.767728
20,2/6/2024,102 Precinct Council Monthly Meeting,"Celebration Hall at Maple Grove 127-15 Kew Gardens Road, Kew Gardens NY 11415",40.70712,-73.824119
21,2/6/2024,The Dawoodi Bohras Mosque,"131-24 Springfield Boulevard, Jamaica, NY 11413",40.683805,-73.751579
22,2/8/2024,Ozone Park Civic Assoication monthlty meeting,88-03 101 Ave Ozone Park NY 11416,40.682733,-73.851862
23,2/13/2024,Community Board 14 Meetings,Knights of Columbus 333 Beach 90 Street Rockaway Beach 11693,40.590692,-73.809749
24,12/13/2024,Community Board 4 Meeting,"79-01 Broadway, Queens, NY 11373, USA",40.744586,-73.886173
25,2/16/2024,Tabling event Queens Public Library Central Library,89-11 Merrick Blvd Jamaica NY 11432,40.707651,-73.795027
26,2/20/2024,115th Precinct Community Council Meeting,"115TH Precinct 92-15 Northern Blvd, Jackson Heights 11372",40.751146,-73.882508
27,2/20/2024,Tabling event Queens Public Library Ricmond Hill,118-14 Hillside Avenue NY 11418,40.700869,-73.831697
28,2/20/2024,Woodside Houses Resident Association,"51-12 31st Avenue, East Elmhurst, NY",40.756843,-73.90765
29,2/21/2024,101 Precinct Community Council Meeting,1332 Central Avenue in Far Rockaway 11691,40.606941,-73.750054
30,2/21/2024,International Language Day,89-11 Merrick Blvd Jamaica NY 11432,40.707651,-73.795027
31,2/22/2024,QDA Lunar New Year Event,"Queens Borough Colllege  222-05 56th Ave, Queens, NY 11364",40.755787,-73.756818
32,2/27/2024,107 Precinct Council Monthly Meeting,"107 Precinct - 71-01 Parsons Blvd , Fresh Meadows NY 11365",40.738884,-73.790067
33,2/27/2024,John Lewis Memorial Stamp Unveiling,"Ross Johnson Family Center - 172-17 Linden Boulevard, St. Albans NY",40.692194,-73.777293
34,2/27/2024,Judge Sandra Perez's Induction Ceremony,"Queens County Civil Court   89-17 Sutphin Blvd., Jamaica 11435   Ceremonial Courtroom",40.692194,-73.777293
35,2/28/2024,100th Precinct Community Council Meeting,Knights of Columbus 333 Beach 90 Street in Rockaway Beach 11693,40.590692,-73.809749
36,2/28/2024,Judge Sandra Munoz Induction Ceremony,"Queens Borough Hall 120-55 Queens Blvd, Kew Gardens, NY 11424",40.714304,-73.827263
37,2/28/2024,PSA 9 Precinct Community Council Meeting,"35-40 21st St, Long Island City, NY 11106",40.760486,-73.936701
38,2/28/2024,Richmond Hill Block Association Monthlty Meeting,110-08 Jamaica Avenue,40.696866,-73.837167
39,2024-2-,13th year’s celebration of Fauma Innovative Inc.,Queens Palace 37-11 57th Street Woodside NY 11377,40.74995,-73.905284
40,3/5/2024,102 Precinct Council Monthly Meeting,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,40.696373,-73.837662
41,6,"Services Now Adult Person, Inc (SNAP) Senior Center - Fraud & Deed Theft Presentation","80-45 Winchester Blvd, Queens Village, NY 11427",40.737159,-73.729205
42,3/8/2024,Internaitonal Women's Day,"Gulshan Terrace, 59-15 37th Avenue Woodside, Queens NY 11377",40.749875,-73.902752
43,3/12/2024,Community Board 4 Meeting,"79-01 Broadway, Queens, NY 11373, USA",40.744586,-73.886173
