county,size,detention_eligible_no_petition_file,detention_petition_filed_but_denied,detention_eligible_cases_detained 
Boone County,158,0.47,0.18,0.35
Champaign County,859,0.47,0.21,0.32
Christian County,107,0.62,0.12,0.26
Coles County,162,0.05,0.40,0.56
Cook County,14646,0.73,0.10,0.16
Effingham County,105,0.70,0.04,0.27
Franklin County,165,0.48,0.08,0.44
Fulton County,161,0.40,0.37,0.23
Grundy County,119,0.62,0.13,0.25
Henry County,166,0.37,0.32,0.31
Jackson County,352,0.55,0.14,0.31
Jefferson County,113,0.37,0.19,0.43
Kankakee County,315,0.17,0.37,0.46
Knox County,366,0.61,0.15,0.24
LaSalle County,274,0.85,0.04,0.11
Livingston County,164,0.40,0.21,0.40
Logan County,102,0.57,0.18,0.25
Macoupin County,158,0.56,0.02,0.42
Marion County,212,0.47,0.25,0.28
Montgomery County,112,0.45,0.16,0.39
Ogle County,142,0.32,0.38,0.30
Peoria County,157,0.28,0.19,0.53
Randolph County,111,0.53,0.29,0.18
Richland County,115,0.76,0.04,0.20
Saline County,133,0.56,0.13,0.32
St. Clair County,680,0.13,0.36,0.51
Stephenson County,120,0.27,0.34,0.39
Vermilion County,514,0.20,0.36,0.44
White County,100,0.39,0.31,0.30
Whiteside County,110,0.54,0.18,0.28
Will County,1105,0.33,0.33,0.35
Williamson County,415,0.68,0.11,0.20
